ID,adj.P.Val,P.Value,B,Gene.symbol,AveExpr,logFC
10422249,0.001107614,5.67125E-07,6.77446642,Dct,11.21338271,7.430211832
10505614,0.000927186,1.18174E-07,7.793868953,Tyrp1,11.14529711,7.425302311
10587331,0.019148307,0.000510804,0.292004522,Gm10639///Gm3776///Gsta2///Gsta1,9.589073992,6.967838213
10462435,0.00101929,1.79516E-07,7.545714338,Mlana,11.47859629,5.994491073
10496756,0.001985853,3.1993E-06,5.387912901,Mcoln3,9.624669061,5.76012375
10367379,0.001163285,7.69723E-07,6.548532889,Pmel,10.6957959,5.661396635
10339048,0.012916787,0.000226675,1.168968951,,5.912770859,5.323489574
10595148,0.002478805,6.41808E-06,4.763747345,Gm10639///Gm3776///Gsta2///Gsta1,8.700634613,5.117015315
10351525,0.008407711,9.00329E-05,2.147345849,Mpz,9.265639993,5.099838497
10343277,0.001654722,1.55726E-06,5.995541488,,7.627628666,5.078034192
10417411,0.007536974,6.27473E-05,2.523001565,Gm3696///Gm3558///Gm10408///Gm10413///Gm3500///Gm10409///Gm3383///Gm3020///Gm3002///Gm2237///Gm10406///Gm3373///Gm9602///Gm3317///Gm5797///Gm5796///Gm16440///Gm5795///Gm5458///D830030K20Rik///4930555G01Rik///Hn1l///Gm10406,4.416221777,4.947256272
10571815,0.008024191,7.7599E-05,2.302506198,Gpm6a,9.777303017,4.712216166
10340440,0.004836093,2.47648E-05,3.46742412,,6.324715453,4.71019124
10574415,0.001829287,2.73656E-06,5.52319452,1700047G07Rik,10.36342542,4.52941628
10554863,0.00171327,1.90626E-06,5.829052388,Sytl2,8.676803103,4.158338319
10340373,0.005787873,3.67445E-05,3.070999939,,6.356981298,3.956392521
10342780,0.001107614,4.86537E-07,6.884571203,,9.10101942,3.92026495
10404937,0.013411716,0.000243849,1.090668656,,7.004849922,3.864155444
10341235,0.003661874,1.39534E-05,4.030536165,,8.981216924,3.80559347
10434666,0.006266104,4.58906E-05,2.844741739,,5.852647197,3.78286575
10587339,0.008969539,0.000103217,2.004054784,Gm10639///Gm3776///Gsta2///Gsta1,6.739111069,3.747165377
10356401,0.001751338,2.56957E-06,5.577192086,,5.943521035,3.722463976
10587023,0.001107614,5.2537E-07,6.829681795,Rab27a,10.05288385,3.674076629
10407435,0.014291659,0.000275472,0.959680006,Akr1c18,6.132977225,3.649044153
10575034,0.001074267,4.01768E-07,7.018976924,Cdh3,8.538888791,3.61233583
10343558,0.012148502,0.000196767,1.320336317,,6.425904994,3.587648926
10343646,0.004186087,1.90277E-05,3.728161382,,3.583080483,3.559836889
10377372,0.003272253,1.04494E-05,4.307739213,Slc25a35,7.310721065,3.490058137
10422164,0.001053736,3.63776E-07,7.087341828,Ednrb,10.82588798,3.482197903
10563108,0.014001285,0.00026311,1.009040648,Snord35a,6.100918153,3.48125743
10540265,0.012692153,0.00021859,1.207865157,Mitf,6.554518532,3.38126698
10342011,0.009885699,0.000124126,1.809738561,,8.939941423,3.37357514
10341239,0.011276375,0.000162528,1.524074764,,7.559148245,3.33059217
10376002,0.008877231,0.000100111,2.03613525,,6.905871806,3.298033012
10540248,0.001107614,6.43014E-07,6.682613139,Mitf,9.5083671,3.222211945
10343608,0.019435023,0.00053396,0.243824192,,8.202010042,3.217091145
10343391,0.010513295,0.000139113,1.689173412,,10.17809453,3.208558011
10475567,0.005498452,3.40094E-05,3.149256575,Slc24a5,10.08036221,3.188906874
10363112,0.009228139,0.000109113,1.945642325,Vgll2,8.960152001,3.170976217
10371770,0.010809408,0.0001502,1.607874273,Gas2l3,9.344283737,3.155304799
10423098,0.00171327,2.26727E-06,5.68361861,Slc45a2,9.312268036,3.106783995
10361091,0.008656615,9.51087E-05,2.08990745,Atf3,7.622648951,3.029742148
10353192,0.014109744,0.00026953,0.983127858,Eya1,9.062468819,3.019438901
10343055,0.018238921,0.000463135,0.398364629,,9.735968021,2.890642653
10342100,0.003661874,1.377E-05,4.043323932,,10.56492206,2.807474848
10341771,0.020178918,0.000578064,0.157506692,,5.187535866,2.744833985
10339441,0.011375363,0.000172949,1.457938766,,9.05593093,2.737264583
10595145,0.011530102,0.000180405,1.41297238,,4.766395457,2.606333088
10487441,0.004081032,1.76109E-05,3.804063085,Mal,8.122722228,2.561405571
10598023,0.008024191,7.68213E-05,2.312995131,,8.678841221,2.528090397
